College grounds,Diameter breast height (cm),Colour (B/RB/G),Height (cm),Bird bites,Rodent bites,Insect bites,Snail marks,All Bites,"missing, fallen"
,,,,,,,,,
Newnham,55,B,30,0,0,0,0,0,missing
Newnham,55,RB,45,0,0,0,0,0,missing
Newnham,55,G,60,0,0,0,0,0,missing
Newnham,55,B,30,0,0,0,0,0,missing
Newnham,55,RB,45,0,0,0,0,0,missing
Newnham,55,G,60,0,0,0,0,0,missing
Newnham,55,B,30,0,0,0,0,0,missing
Newnham,55,RB,45,0,0,0,0,0,missing
Newnham,55,G,60,0,0,0,0,0,missing
